2025-11-09 22:36:33 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:36:35 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:36:35 | INFO | alejandria | 127.0.0.1 | GET / -> 307 4ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:36:37 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:36:37 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:36:37 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 87ms size=1468 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:36:37 | INFO | alejandria | 127.0.0.1 | GET /login.css -> 200 4ms size=2882 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:36:45 | INFO | alejandria | 127.0.0.1 | Serve /index.html
2025-11-09 22:36:45 | INFO | alejandria | 127.0.0.1 | GET /index.html -> 200 2ms size=1359 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:36:46 | INFO | alejandria | 127.0.0.1 | GET /index.css -> 200 2ms size=5553 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:46 | INFO | alejandria | 127.0.0.1 | GET /app.js -> 200 4ms size=4606 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:48 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 4ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:52 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:53 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:53 | INFO | alejandria | 127.0.0.1 | GET /remote/search -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:56 | INFO | alejandria | 127.0.0.1 | Serve /index.html
2025-11-09 22:36:56 | INFO | alejandria | 127.0.0.1 | GET /index.html -> 200 3ms size=1359 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:36:56 | INFO | alejandria | 127.0.0.1 | GET /index.css -> 200 4ms size=5553 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:56 | INFO | alejandria | 127.0.0.1 | GET /app.js -> 200 5ms size=4606 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
2025-11-09 22:36:56 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/index.html' user='-'
